                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.34629,                0.55869,                0.30086,                0.85605,                0.99853,                0.96429,                0.97026,                0.95654,                0.99853,                0.96429,                0.97026,                0.90583,                0.27584,                0.41614,                 0.2639,                0.79896,              0.0013268,              0.0013268,              0.0013268
                     36,                0.32489,                0.49567,                0.28439,                 0.8458,                0.99702,                0.96429,                0.97089,                0.96247,                0.99702,                0.96429,                0.97089,                0.91086,                 0.2478,                0.37908,                0.24953,                0.79782,               0.001307,               0.001307,               0.001307
                     37,                0.34097,                0.50969,                0.29898,                0.86546,                0.99948,                0.96429,                0.97182,                0.96049,                0.99948,                0.96429,                0.97182,                0.90565,                0.22158,                0.40123,                0.22241,                0.78808,              0.0012872,              0.0012872,              0.0012872
                     38,                0.34769,                0.51672,                0.31199,                 0.8655,                      1,                0.96359,                0.96904,                0.96127,                      1,                0.96359,                0.96904,                0.90708,                0.20731,                0.36778,                0.22627,                0.78717,              0.0012674,              0.0012674,              0.0012674
                     39,                0.33441,                0.49893,                0.29036,                 0.8622,                0.99972,                0.96429,                0.97365,                0.96222,                0.99972,                0.96429,                0.97365,                0.91397,                0.23177,                0.37198,                0.20929,                0.78886,              0.0012476,              0.0012476,              0.0012476
                     40,                0.33479,                0.54186,                0.30097,                0.86747,                0.99721,                0.95536,                0.97171,                0.95886,                0.99721,                0.95536,                0.97113,                0.89589,                0.20299,                 0.3973,                 0.2482,                0.78692,              0.0012278,              0.0012278,              0.0012278
                     41,                  0.342,                0.49353,                0.29738,                0.86041,                0.99922,                0.96429,                0.98194,                0.96415,                0.99922,                0.96429,                0.97975,                0.89977,                 0.2261,                0.37982,                0.21009,                0.78557,               0.001208,               0.001208,               0.001208
                     42,                0.31519,                0.47733,                0.26996,                0.84609,                0.99928,                0.96429,                0.97931,                0.96597,                0.99928,                0.96429,                0.97931,                0.90971,                0.20922,                0.36515,                0.20768,                0.78952,              0.0011882,              0.0011882,              0.0011882
                     43,                0.31967,                0.48903,                0.27783,                0.85706,                0.99927,                0.96429,                0.97606,                0.96754,                0.99927,                0.96429,                0.97606,                0.91117,                0.21671,                0.39838,                0.21838,                0.78902,              0.0011684,              0.0011684,              0.0011684
                     44,                0.30989,                0.49726,                0.27789,                0.85711,                0.99942,                0.96429,                0.97734,                0.96873,                0.99942,                0.96429,                0.97734,                0.93055,                0.21259,                0.35609,                0.21663,                  0.787,              0.0011486,              0.0011486,              0.0011486
